_id,MSYMPTOMID,TOCALLDATE,Repair_time,Average_repairtime_year,Average_repairtime_all,worksheets_closed,Average_worksheets_year
65407fde983e3aa5f5c60a13,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a14,Internet,Year_2560,9,4,2,V2,208
65407fde983e3aa5f5c60a15,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a16,Hardware,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c60a17,Hardware,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c60a18,Internet,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a19,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a1a,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a1b,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a1c,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a1d,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a1e,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a1f,Hardware,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c60a20,Hardware,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60a21,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a22,Telephony,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c60a23,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a24,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a25,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a26,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a27,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a28,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a29,Internet,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c60a2a,Telephony,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c60a2b,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a2c,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a2d,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a2e,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a2f,Software,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c60a30,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a31,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a32,Internet,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a33,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a34,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a35,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a36,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a37,Hardware,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c60a38,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a39,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a3a,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a3b,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a3c,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a3d,Hardware,Year_2560,7,4,2,V1,208
65407fde983e3aa5f5c60a3e,Software,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c60a3f,Internet,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a40,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a41,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a42,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a43,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a44,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a45,Others,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a46,Others,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a47,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a48,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a49,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a4a,Hardware,Year_2560,7,4,2,V1,208
65407fde983e3aa5f5c60a4b,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a4c,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a4d,Internet,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a4e,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a4f,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a50,Telephony,Year_2560,13,4,2,V2,208
65407fde983e3aa5f5c60a51,Others,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a52,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a53,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a54,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a55,Internet,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a56,Internet,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a57,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a58,Internet,Year_2560,14,4,2,V2,208
65407fde983e3aa5f5c60a59,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a5a,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a5b,Others,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c60a5c,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a5d,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a5e,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a5f,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a60,Software,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c60a61,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a62,Telephony,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c60a63,Hardware,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c60a64,Software,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60a65,Others,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c60a66,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a67,Others,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a68,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a69,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a6a,Internet,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c60a6b,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a6c,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a6d,Telephony,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c60a6e,Hardware,Year_2560,8,4,2,V2,208
65407fde983e3aa5f5c60a6f,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a70,Others,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60a71,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a72,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a73,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a74,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a75,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a76,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a77,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a78,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a79,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a7a,Hardware,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60a7b,Internet,Year_2560,12,4,2,V2,208
65407fde983e3aa5f5c60a7c,Others,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a7d,Others,Year_2560,18,4,2,V3,208
